Job Title,Job Location,Company,Estimate Base Salary,Low Estimate,High Estimate,Company Size,Company Type,Company Sector,Company Founded,Company Industry,Company Revenue,Country,State
Graduate Math Teacher,Melbourne,Education and Training,"57511        ",53000,63000,1001 to 5000 Employees,School / School District,,,,Unknown / Non-Applicable,Australia,Victoria
Business Development Manager,Scoresby,Johnson & Johnson,110373,106000,115000,10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,1887.0,Biotech & Pharmaceuticals,$10+ billion (USD),Australia,Victoria
Analytics Consultant,Melbourne,City of Melbourne,120676,114000,128000,1001 to 5000 Employees,Government,Government & Public Administration,,National Services & Agencies,$100 to $500 million (USD),Australia,Victoria
Data Analyst,Melbourne,Wesfarmers OneDigital,140000,140000,140000,10000+ Employees,Company - Public,Retail & Wholesale,1914.0,Motor Vehicle Dealers,$10+ billion (USD),Australia,Victoria
Electronics Engineer,New South Wales,Australian Antarctic Division,92076,92000,92000,501 to 1000 Employees,Government,Government & Public Administration,1948.0,National Services & Agencies,Unknown / Non-Applicable,Australia,Victoria
Data Scientist,Melbourne,Wesfarmers OneDigital,140107,130000,151000,10000+ Employees,Company - Public,Retail & Wholesale,1914.0,Motor Vehicle Dealers,$10+ billion (USD),Australia,Victoria
Consultant,Burwood,PharmOut Pty Ltd,80000,75000,85000,,,,,,,Australia,Victoria
Data Analyst,Melbourne,Wesfarmers OneDigital,140000,140000,140000,10000+ Employees,Company - Public,Retail & Wholesale,1914.0,Motor Vehicle Dealers,$10+ billion (USD),Australia,Victoria
Data Engineer,Melbourne,GroupM,120416,100000,145000,10000+ Employees,Subsidiary or Business Segment,Media & Communication,2003.0,Advertising & Public Relations,Unknown / Non-Applicable,Australia,Victoria
Elementary School Teacher,Melbourne,Education and Training,71442,64000,80000,1001 to 5000 Employees,School / School District,,,,Unknown / Non-Applicable,Australia,Victoria
Data Scientist,Melbourne,Wesfarmers OneDigital,140107,130000,151000,10000+ Employees,Company - Public,Retail & Wholesale,1914.0,Motor Vehicle Dealers,$10+ billion (USD),Australia,Victoria
Senior Channel Manager,Mulgrave,Bristol Myers Squibb,80623,65000,100000,10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,1858.0,Biotech & Pharmaceuticals,$10+ billion (USD),Australia,Victoria
Data Engineer,Melbourne,GroupM,120416,100000,145000,10000+ Employees,Subsidiary or Business Segment,Media & Communication,2003.0,Advertising & Public Relations,Unknown / Non-Applicable,Australia,Victoria
Data Scientist,Melbourne,Circuit Recruitment,120000,100000,144000,Unknown,Company - Public,,,,Unknown / Non-Applicable,Australia,Victoria
Translator,Southbank,Kraft Heinz Company,73485,60000,90000,10000+ Employees,Company - Public,Manufacturing,2015.0,Food & Beverage Manufacturing,$10+ billion (USD),Australia,Victoria
Data Analyst,Melbourne,Attra,99590,97000,102000,1001 to 5000 Employees,Company - Private,Information Technology,1995.0,Information Technology Support Services,Unknown / Non-Applicable,Australia,Victoria
Navy Careers (No Experience Required),New South Wales,Royal Australian Navy,82500,75000,90000,10000+ Employees,Government,Government & Public Administration,,National Services & Agencies,Unknown / Non-Applicable,Australia,Victoria
Research Assistant,New South Wales,Murdoch Childrens Research Institute,84485,80000,89000,1001 to 5000 Employees,Non-profit Organisation,Non-profit & NGO,,"Civic, Welfare & Social Services",$25 to $50 million (USD),Australia,Victoria
Machine Learning Engineer,Melbourne,KJR,71100,71000,71000,51 to 200 Employees,Company - Private,Information Technology,1997.0,Information Technology Support Services,Unknown / Non-Applicable,Australia,Victoria
Compliance Officer,Melbourne,ACER,88840,70000,113000,5001 to 10000 Employees,Company - Public,Information Technology,,Computer Hardware Development,$5 to $10 billion (USD),Australia,Victoria
Engineer,Melbourne,ANZ Banking Group,135554,100000,184000,10000+ Employees,Company - Public,Finance,1835.0,Banking & Lending,Unknown / Non-Applicable,Australia,Victoria
Data Scientist,Melbourne,Circuit Recruitment,120000,100000,144000,Unknown,Company - Public,,,,Unknown / Non-Applicable,Australia,Victoria
Data Engineer,Melbourne,Hudson Australia,141478,120000,167000,501 to 1000 Employees,Company - Private,Human Resources & Staffing,1985.0,HR Consulting,Unknown / Non-Applicable,Australia,Victoria
Social Worker,Melbourne,Education and Training,71523,61000,84000,1001 to 5000 Employees,School / School District,,,,Unknown / Non-Applicable,Australia,Victoria
